id	destination	year
S004	V002	1949
S005	V002	1949
S006	V002	1949
S007	V002	1949
S009	V002	1949
S010	V002	1949
S011	V002	1949
S014	V002	1949
S016	V002	1949
S017	V002	1949
S018	V002	1949
S020	V002	1949
S021	V002	1949
S022	V002	1949
S023	V002	1949
S024	V002	1949
S025	V002	1949
S026	V002	1949
S027	V002	1949
S029	V002	1949
S030	V002	1949
S033	V002	1949
S034	V002	1949
S037	V002	1949
S038	V002	1949
S039	V002	1949
S040	V002	1949
S041	V002	1949
S042	V002	1949
S043	V002	1949
S067	V002	1949
S065	V004	1954
S067	V004	1954
S072	V004	1954
S005	V006	1958
S007	V006	1958
S009	V006	1958
S010	V006	1958
S011	V006	1958
S016	V006	1958
S018	V006	1958
S021	V006	1958
S022	V006	1958
S023	V006	1958
S024	V006	1958
S026	V006	1958
S027	V006	1958
S029	V006	1958
S030	V006	1958
S034	V006	1958
S037	V006	1958
S041	V006	1958
S042	V006	1958
S046	V006	1958
S048	V006	1958
S050	V006	1958
S052	V006	1958
S053	V006	1958
S054	V006	1958
S055	V006	1958
S056	V006	1958
S061	V006	1958
S062	V006	1958
S064	V006	1958
S065	V006	1958
S066	V006	1958
S068	V006	1958
S072	V006	1958
S083	V006	1958
S085	V006	1958
S086	V006	1958
S088	V006	1958
S092	V006	1958
S093	V006	1958
S094	V006	1958
S095	V006	1958
S096	V006	1958
S097	V006	1958
S098	V006	1958
S099	V006	1958
S100	V006	1958
S101	V006	1958
S102	V006	1958
S103	V006	1958
S104	V006	1958
S054	V007	1958
S088	V010	1963
S053	V011	1963
S055	V011	1963
S056	V011	1963
S061	V011	1963
S062	V011	1963
S066	V011	1963
S083	V011	1963
S085	V011	1963
S086	V011	1963
S098	V011	1963
S108	V011	1963
S109	V011	1963
S110	V011	1963
S111	V011	1963
S112	V011	1963
S113	V011	1963
S114	V011	1963
S115	V011	1963
S116	V011	1963
S117	V011	1963
S046	V012	1965
S054	V012	1965
S095	V012	1965
S118	V013	1965
S119	V013	1965
S120	V013	1965
S121	V013	1965
S122	V013	1965
S124	V013	1965
S126	V013	1965
S128	V013	1965
S129	V013	1965
S130	V013	1965
S131	V013	1965
S132	V013	1965
S133	V014	1967
S134	V014	1967
S135	V014	1967
S136	V014	1967
S137	V014	1967
S139	V014	1967
S140	V014	1967
S141	V014	1967
S142	V014	1967
S143	V014	1967
S144	V014	1967
S118	V015	1968
S119	V015	1968
S122	V015	1968
S123	V015	1968
S124	V015	1968
S125	V015	1968
S126	V015	1968
S127	V015	1968
S130	V015	1968
S135	V015	1968
S136	V015	1968
S137	V015	1968
S138	V015	1968
S140	V015	1968
S141	V015	1968
S144	V015	1968
S145	V015	1968
S146	V015	1968
S147	V015	1968
S148	V015	1968
S042	V017	1970
S050	V017	1970
S054	V017	1970
S068	V017	1970
S084	V017	1970
S094	V017	1970
S095	V017	1970
S097	V017	1970
S100	V017	1970
S101	V017	1970
S102	V017	1970
S103	V017	1970
S104	V017	1970
S105	V017	1970
S140	V017	1970
S152	V019	1973
S160	V022	1983
S161	V022	1983
S162	V022	1983
S163	V022	1983
S164	V022	1983
S165	V022	1983
S166	V022	1983
S168	V022	1983
S170	V022	1983
S172	V022	1983
S178	V022	1983
S182	V022	1983
S184	V022	1983
S186	V022	1983
S187	V022	1983
S190	V022	1983
S191	V022	1983
S192	V022	1983
S193	V022	1983
S194	V022	1983
S195	V022	1983
S196	V022	1983
S197	V022	1983
S198	V022	1983
S199	V022	1983
S200	V022	1983
S201	V022	1983
S118	V023	1984
S119	V023	1984
S120	V023	1984
S121	V023	1984
S122	V023	1984
S123	V023	1984
S124	V023	1984
S125	V023	1984
S126	V023	1984
S127	V023	1984
S128	V023	1984
S129	V023	1984
S130	V023	1984
S131	V023	1984
S132	V023	1984
S133	V023	1984
S134	V023	1984
S135	V023	1984
S136	V023	1984
S137	V023	1984
S139	V023	1984
S140	V023	1984
S141	V023	1984
S142	V023	1984
S143	V023	1984
S144	V023	1984
S145	V023	1984
S146	V023	1984
S147	V023	1984
S205	V023	1984
S206	V023	1984
