"id"	"attributes.title"	"attributes.txt_length"	"attributes.log_length"	"viz.position.x"	"viz.position.y"
"S001"	"Passatempi"	2164	13.67	1750.3344	532.6591
"S002"	"Dieci soldi in plastilina"	4066	23.84	-388.73242	2071.4656
"S003"	"Invece era un'altra"	986	1	-1357.9033	-1232.2579
"S004"	"Angoscia in caserma"	19473	49.09	167.60992	1282.9219
"S005"	"Andato al comando"	10457	39.06	-373.8956	1009.51105
"S006"	"Di padre in figlio"	8291	35.32	-571.11127	1420.9703
"S007"	"Paura sul sentiero"	13175	42.79	-481.71014	1035.5128
"S008"	"E il settimo si riposò"	12532	41.98	1841.1644	858.3548
"S009"	"Uomo nei gerbidi"	9042	36.72	-480.3955	834.0036
"S010"	"Campo di mine"	9702	37.86	-367.21783	765.70404
"S011"	"I fratelli Bagnasco"	9240	37.07	-268.7521	949.3551
"S012"	"Ragionamento del cugino"	7490	33.68	1013.57996	1830.6334
"S013"	"Cinque dopodomani: guerra finita!"	7287	33.24	-2093.5596	18.072378
"S014"	"Alba sui rami nudi"	13871	43.62	-27.797754	1275.3824
"S015"	"Come non fui Noè (Buon a nulla)"	9027	36.69	669.1708	-1456.3386
"S016"	"Ultimo viene il corvo"	10809	39.6	-266.0962	816.1061
"S017"	"Visti alla mensa"	8658	36.02	-89.33469	1490.9479
"S018"	"L'occhio del padrone"	10063	38.44	-115.27556	779.8609
"S019"	"Come un volo d'anitre"	11326	40.35	1458.5516	1497.3169
"S020"	"La fame a Bévera"	11391	40.44	-348.5329	1397.0278
"S021"	"Furto in una pasticceria"	14106	43.89	-383.73138	898.0897
"S022"	"Un bastimento carico di granchi"	9906	38.19	-575.5072	769.0252
"S023"	"I figli poltroni"	9860	38.12	-97.83239	674.89124
"S024"	"Il giardino incantato"	8487	35.7	-218.37558	705.0507
"S025"	"Impiccagione di un giudice"	15971	45.89	-440.92365	1507.8794
"S026"	"Il bosco degli animali"	15495	45.4	-535.3236	935.65875
"S027"	"Si dorme come cani"	12910	42.46	-463.4195	694.20026
"S028"	"Com'era grande il mare"	3554	21.67	903.4646	-1564.7913
"S029"	"Il gatto e il poliziotto"	12933	42.49	-173.43433	876.22894
"S030"	"Pranzo con un pastore"	14313	44.12	-329.06848	650.4366
"S031"	"Voglia di mare"	5327	28.19	316.46912	1891.5339
