"id"	"label"	"attributes.txt_length"	"attributes.publication"	"attributes.log_length"	"viz.position.x"	"viz.position.y"
"S004"	"Angoscia in caserma"	19473	1945	121.94	-732.73926	2675.394
"S005"	"Andato al comando"	10457	1946	96.74	-1585.0898	1835.4828
"S006"	"Di padre in figlio"	8291	1946	87.33	-1500.9924	2700.0703
"S007"	"Paura sul sentiero"	13175	1946	106.1	-1820.8203	2194.394
"S009"	"Uomo nei gerbidi"	9042	1946	90.84	-1185.6656	1778.5278
"S010"	"Campo di mine"	9702	1946	93.7	-2068.7246	1792.1586
"S011"	"I fratelli Bagnasco"	9240	1946	91.72	-1387.7808	2178.54
"S014"	"Alba sui rami nudi"	13871	1947	108.19	347.4517	2634.8228
"S016"	"Ultimo viene il corvo"	10809	1947	98.08	292.20563	1719.074
"S017"	"Visti alla mensa"	8658	1947	89.08	-40.59018	2545.606
"S018"	"L'occhio del padrone"	10063	1947	95.18	-128.8341	1712.1312
"S020"	"La fame a Bévera"	11391	1947	100.2	40.81044	2918.1191
"S021"	"Furto in una pasticceria"	14106	1947	108.87	353.1724	1296.9093
"S022"	"Un bastimento carico di granchi"	9906	1947	94.54	-70.70865	1318.129
"S023"	"I figli poltroni"	9860	1948	94.35	-893.06244	2058.2908
"S024"	"Il giardino incantato"	8487	1948	88.27	-809.03845	1650.3444
"S025"	"Impiccagione di un giudice"	15971	1948	113.91	-666.7394	3037.388
"S026"	"Il bosco degli animali"	15495	1948	112.68	-1050.7494	2426.3608
"S027"	"Si dorme come cani"	12910	1948	105.28	-486.6647	1911.1626
"S029"	"Il gatto e il poliziotto"	12933	1948	105.35	-467.13187	1480.726
"S030"	"Pranzo con un pastore"	14313	1948	109.46	-552.1728	2316.2725
"S033"	"Chi ha messo la mina nel mare?"	10473	1948	96.8	-1040.4021	2893.2878
"S034"	"Dollari e vecchie mondane"	21698	1948	126.33	-137.90996	2133.9636
"S037"	"Un pomeriggio, Adamo"	16625	1949	115.53	-1379.6179	1428.4414
"S038"	"La casa degli alveari"	7418	1949	82.82	-385.09906	2746.1616
"S039"	"La stessa cosa del sangue"	12987	1949	105.52	-1348.0095	3081.6074
"S040"	"Attesa della morte in un albergo"	15582	1949	112.91	-320.99182	3133.304
"S041"	"Uno dei tre è ancora vivo"	14887	1949	111.06	-1775.4012	1483.7917
"S042"	"L'avventura di un soldato"	19767	1949	122.55	-986.5176	1299.6138
"S043"	"Desiderio in novembre"	14101	1949	108.86	-967.1571	3285.908
"S067"	"L'entrata in guerra"	27190	1954	135.48	306.82794	2163.0525
"S065"	"Gli avanguardisti a Mentone"	51188	1954	161.13	-936.2542	899.20416
"S072"	"Le notti dell'UNPA"	39484	1954	150.6	-1480.1677	-532.6198
"S046"	"Pesci grossi, pesci piccoli"	16862	1950	116.11	-2147.8757	1217.4122
"S048"	"Mai nessuno degli uomini lo seppe"	15006	1950	111.38	-1677.4137	1074.225
"S050"	"L'avventura di una bagnante"	21333	1951	125.64	-1241.4608	629.1517
"S052"	"Un bel gioco dura poco"	11940	1952	102.11	-2014.2905	858.6231
"S053"	"Funghi in città"	6506	1952	77.5	-2453.8801	732.4996
"S054"	"La formica argentina"	71831	1952	174.86	-1683.0914	314.64633
"S055"	"Il piccione comunale"	4278	1952	60.5	-2065.3037	454.51486
"S056"	"La pietanziera"	7069	1952	80.86	-2399.3076	207.20412
"S061"	"Il bosco sull'autostrada"	5431	1953	70.17	-1306.8641	261.33133
"S062"	"La cura delle vespe"	8053	1953	86.15	-1539.9988	-79.23992
"S064"	"Paese infido"	17761	1953	118.21	-177.05255	529.61865
"S066"	"L'aria buona"	7594	1953	83.77	-1124.9867	-190.6043
"S068"	"L'avventura di un impiegato"	17132	1953	116.75	234.3613	785.0859
"S083"	"Il coniglio velenoso"	16872	1954	116.13	-1927.1058	-451.05798
"S085"	"Un viaggio con le mucche"	8752	1956	89.52	-1638.754	686.6273
"S086"	"Luna e Gnac"	10513	1957	96.95	-1971.0209	22.674694
"S088"	"La speculazione edilizia"	168428	1957	209.41	-1315.3713	1007.0177
"S092"	"La gallina di reparto"	17022	1958	116.49	-533.1672	753.81995
"S093"	"La notte dei numeri"	21230	1958	125.45	-186.16187	125.93833
"S094"	"L'avventura di un lettore"	29812	1958	139.21	-639.419	-448.45477
"S095"	"La nuvola di smog"	101390	1958	188.84	-517.37573	333.62277
"S096"	"La signora Paulatim"	15161	1958	111.8	-582.24	1107.145
"S097"	"L'avventura di un viaggiatore"	30293	1958	139.86	-854.2444	524.91583
"S098"	"La villeggiatura in panchina"	14003	1958	108.57	-1047.989	-613.1293
"S099"	"Va' così che vai bene"	27454	1958	135.87	205.4077	383.3098
"S100"	"Un letto di passaggio"	10616	1958	97.35	-655.2554	-33.917343
"S101"	"L'avventura di un miope"	18975	1958	120.89	-160.93634	903.1023
"S102"	"L'avventura di una moglie"	14457	1958	109.87	172.73988	-40.031574
"S103"	"L'avventura di due sposi"	7814	1958	84.92	-248.95128	-280.22626
"S104"	"L'avventura di un poeta"	11830	1958	101.74	-941.27026	166.40685
"S108"	"Marcovaldo al supermarket"	10606	1963	97.31	-2895.479	-645.5513
"S109"	"La pioggia e le foglie"	12518	1963	104.03	-3262.6335	-732.5279
"S110"	"La fermata sbagliata"	13030	1963	105.65	-2634.8918	-937.18085
"S111"	"Fumo, vento e bolle di sapone"	12414	1963	103.69	-2796.2737	-301.45
"S112"	"Un sabato di sole, sabbia e sonno"	7838	1963	85.05	-2763.8208	-1287.7238
"S113"	"La città tutta per lui"	6089	1963	74.81	-3023.3013	-1020.09
"S114"	"Il giardino dei gatti ostinati"	20899	1963	124.81	-2262.793	-893.7984
"S115"	"I figli di Babbo Natale"	15228	1963	111.97	-2518.591	-582.3205
"S116"	"Dov'è più azzurro il fiume"	5787	1963	72.75	-2377.4421	-1250.682
"S117"	"La città smarrita nella neve"	8741	1963	89.47	-3184.4624	-355.63058
"S118"	"La distanza della Luna"	29733	1964	139.1	941.2044	-3252.0757
"S119"	"Sul far del giorno"	19463	1964	121.92	205.58908	-3502.7664
"S120"	"Un segno nello spazio"	19237	1964	121.45	1013.5951	-2898.8564
"S121"	"Tutto in un punto"	9490	1964	92.8	919.82855	-4228.847
"S122"	"Senza colori"	18946	1965	120.83	1230.5767	-3511.0024
"S124"	"Lo zio acquatico"	21396	1965	125.76	1280.7239	-3153.3406
"S126"	"Giochi senza fine"	11691	1965	101.26	1335.1366	-2749.5881
"S128"	"La forma dello spazio"	15776	1965	113.41	729.33124	-3940.7776
"S129"	"Quanto scommettiamo"	16962	1965	116.35	619.44446	-3325.0125
"S130"	"I Dinosauri"	32538	1965	142.76	322.2098	-3160.5945
"S131"	"Gli anni-luce"	26660	1965	134.68	1626.0144	-3026.9763
"S132"	"La spirale"	27755	1965	136.31	1333.3005	-4120.047
"S133"	"Ti con zero"	27727	1966	136.27	23.557156	-3827.1694
"S134"	"I. Mitosi"	27482	1967	135.91	343.5865	-3932.969
"S135"	"L'inseguimento"	26513	1967	134.46	-172.75401	-3542.0134
"S136"	"I cristalli"	15771	1967	113.39	71.14694	-4208.386
"S137"	"L'origine degli uccelli"	21376	1967	125.72	-309.83417	-3944.8772
"S139"	"Il sangue, il mare"	21043	1967	125.09	-22.622417	-3211.9326
"S140"	"Il guidatore notturno"	14578	1967	110.21	198.73569	-2251.4958
"S141"	"La molle Luna"	16603	1967	115.48	490.51367	-4275.529
"S142"	"II. Meiosi"	18954	1967	120.85	522.8352	-3644.5054
"S143"	"III. Morte"	9299	1967	91.98	182.41875	-2844.399
"S144"	"Il conte di Montecristo"	22375	1967	127.58	-404.70465	-3229.3037
"S123"	"Fino a che dura il Sole"	14692	1965	110.52	1093.9352	-3855.1455
"S125"	"La Luna come un fungo"	16925	1965	116.26	870.3195	-3582.8835
"S127"	"I meteoriti"	17758	1965	118.21	662.4013	-2964.626
"S138"	"La memoria del mondo"	13732	1967	107.78	-557.7223	-3594.8845
"S145"	"Le figlie della Luna"	23452	1968	129.48	865.5585	-2561.7732
"S146"	"Il cielo di pietra"	13895	1968	108.26	499.0321	-2643.2664
"S147"	"Tempesta solare"	18603	1968	120.09	-197.68407	-2895.9675
