id	txt_length	data
V007	71854	1958-06-15
V016	62895	1969-11-01
V020	430338	1974-12-01
V010	191068	1963-06-15
V021	458335	1979-06-02
V005	416814	1957-06-04
V001	249888	1947-10-10
V008	197268	1959-11-30
S088	168428	1957-09-01
V018	146738	1972-11-03
V003	138103	1952-06-15
V009	121328	1963-02-28
S095	101390	1958-09-01
S152	98779	1973-10-27
S106	83344	1962-01-01
S054	71831	1952-10-01
S065	51188	1953-05-01
S204	46528	1984-08-12
S154	44046	1974-09-28
S185	41220	1982-06-01
S171	41079	1977-02-01
S072	39484	1954-5-25
S130	32538	1965-11-15
S097	30293	1958-10-01
S094	29812	1958-08-01
S118	29733	1964-11-01
S132	27755	1965-11-15
S133	27727	1966-11-01
S134	27482	1967-01-01
S099	27454	1958-11-20
S067	27190	1953-08-01
S131	26660	1965-11-15
S135	26513	1967-05-28
S084	26301	1955-04-30
S149	25519	1969-08-01
S151	25010	1972-11-01
S145	23452	1968-05-01
S144	22375	1967-10-28
S150	22085	1971-06-01
S034	21698	1948-12-22
S124	21396	1965-05-01
S137	21376	1967-07-01
S050	21333	1951-08-01
S093	21230	1958-07-15
S139	21043	1967-07-15
S114	20899	1963-11-23
S158	20699	1975-05-01
S042	19767	1949-07-30
S004	19473	1945-12-16
S119	19463	1964-11-01
S120	19237	1964-11-01
S101	18975	1958-11-20
S142	18954	1967-10-28
S122	18946	1965-04-11
S181	18849	1981-11-30
S147	18603	1968-11-01
S064	17761	1953-04-30
S127	17758	1965-10-31
S189	17663	1983-07-01
S068	17132	1953-08-01
S092	17022	1958-07-01
S129	16962	1965-11-15
S125	16925	1965-05-16
S179	16915	1980-09-01
S083	16872	1954-12-25
S046	16862	1950-09-23
S037	16625	1949-07-30
S141	16603	1967-10-28
S159	16064	1975-07-27
S025	15971	1948-02-01
S205	15867	1984-09-02
S128	15776	1965-11-14
S136	15771	1967-06-11
S153	15654	1974-04-25
S040	15582	1949-07-30
S026	15495	1948-04-20
S115	15228	1963-11-23
S157	15168	1975-05-01
S096	15161	1958-09-01
S048	15006	1950-11-09
S188	14889	1983-03-01
S041	14887	1949-07-30
S123	14692	1965-04-18
S140	14578	1967-07-30
S102	14457	1958-11-20
S030	14313	1948-09-15
S021	14106	1947-06-19
S043	14101	1949-07-30
S098	14003	1958-11-20
S146	13895	1968-11-01
S014	13871	1947-01-01
S105	13850	1959-05-01
S138	13732	1967-07-02
S007	13175	1946-06-01
S110	13030	1963-11-03
S039	12987	1949-07-30
S029	12933	1948-08-28
S027	12910	1948-06-11
S175	12906	1978-12-24
S202	12804	1984-01-03
S008	12532	1946-06-09
S109	12518	1963-10-27
S047	12416	1950-11-01
S111	12414	1963-11-10
S183	12343	1982-01-01
S155	12331	1974-12-21
S052	11940	1952-06-29
S104	11830	1958-11-20
S126	11691	1965-10-24
S045	11610	1950-08-17
S203	11582	1984-06-01
S020	11391	1947-05-18
S019	11326	1947-05-03
S063	10989	1953-04-02
S107	10815	1963-04-01
S016	10809	1947-01-05
S100	10616	1958-11-20
S071	10615	1954-02-28
S108	10606	1963-10-20
S086	10513	1957-05-04
S033	10473	1948-11-23
S005	10457	1946-01-19
S070	10429	1953-10-30
S049	10193	1951-07-15
S018	10063	1947-03-30
S022	9906	1947-07-06
S023	9860	1948-01-08
S162	9784	1975-08-10
S032	9727	1948-10-31
S010	9702	1946-08-18
S121	9490	1964-11-01
S206	9364	1984-09-13
S143	9299	1967-10-28
S201	9295	1983-11-19
S190	9267	1983-07-29
S011	9240	1946-09-22
S036	9089	1949-04-02
S182	9054	1981-12-03
S009	9042	1946-06-23
S015	9027	1947-07-01
S087	8971	1957-07-25
S085	8752	1956-01-01
S117	8741	1963-11-23
S169	8736	1976-12-01
S017	8658	1947-01-08
S191	8612	1983-08-25
S024	8487	1948-02-01
S173	8431	1977-10-01
S164	8420	1975-08-24
S073	8394	1954-06-01
S006	8291	1946-04-28
S089	8266	1958-03-06
S051	8251	1952-06-08
S184	8184	1982-04-15
S062	8053	1953-02-15
S035	8005	1949-01-08
S059	7919	1952-12-14
S112	7838	1963-11-23
S148	7831	1968-11-01
S103	7814	1958-11-20
S058	7735	1952-12-09
S044	7633	1950-04-07
S195	7605	1983-11-19
S066	7594	1953-07-05
S176	7552	1980-03-15
S012	7490	1946-09-29
