"source"	"starts_at"	"ends_at"	"tipologia"	"nota"
"S106"	"358"	"419"	"parole"	""
"S106"	"4206"	"4392"	"sintagmi"	""
"S106"	"6407"	"6478"	"frasi"	""
"S106"	"9397"	"9779"	"sintagmi"	"parentesi"
"S106"	"10032"	"10069"	"parole"	""
"S106"	"12667"	"13882"	"frasi"	""
"S106"	"19112"	"19262"	"frasi"	""
"S106"	"20951"	"21184"	"misto"	""
"S106"	"26719"	"27066"	"sintagmi"	""
"S106"	"27257"	"27379"	"sintagmi"	""
"S106"	"27394"	"27441"	"parole"	""
"S106"	"28200"	"28975"	"misto"	"parentesi"
"S106"	"31594"	"31687"	"misto"	""
"S106"	"31994"	"32338"	"sintagmi"	""
"S106"	"35209"	"35460"	"sintagmi"	""
"S106"	"35611"	"35784"	"sintagmi"	""
"S106"	"37272"	"37307"	"parole"	""
"S106"	"37650"	"37691"	"parole"	""
"S106"	"39183"	"39266"	"frasi"	""
"S107"	"4008"	"4091"	"parole"
"S107"	"4338"	"4448"	"misto"
"S123"	"1071"	"1112"	"parole"	""
"S123"	"2376"	"2567"	"sintagmi"	""
"S123"	"4689"	"4859"	"sintagmi"	""
"S123"	"5062"	"5261"	"sintagmi"	""
"S123"	"5371"	"5486"	"misto"	""
"S123"	"5575"	"5754"	"misto"	""
"S123"	"6092"	"6168"	"parole"	""
"S123"	"11185"	"11218"	"parole"	""
"S123"	"11988"	"12118"	"sintagmi"	""
"S123"	"12417"	"12526"	"frasi"	""
"S123"	"14155"	"14637"	"misto"	""
"S125"	"4608"	"5164"	"frasi"	""
"S125"	"12156"	"12692"	"misto"	""
"S125"	"16003"	"16048"	"parole"	""
"S125"	"16225"	"16330"	"frasi"	""
"S127"	"1014"	"1174"	"sintagmi"	""
"S127"	"6281"	"6772"	"frasi"	""
"S127"	"7534"	"7621"	"sintagmi"	""
"S127"	"8521"	"8635"	"misto"	""
"S127"	"11481"	"11806"	"misto"	""
"S127"	"14076"	"14326"	"sintagmi"	""
"S127"	"15458"	"15728"	"frasi"	""
"S127"	"16126"	"16160"	"parole"	""
"S127"	"16540"	"16699"	"parole"	""
"S133"	"91"	"440"	"sintagmi"	""
"S133"	"2493"	"2723"	"sintagmi"	""
"S133"	"8475"	"8516"	"parole"	""
"S133"	"8828"	"9573"	"frasi"	""
"S133"	"13921"	"14107"	"frasi"	""
"S133"	"15791"	"15857"	"parole"	""
"S133"	"19468"	"19479"	"parole"	""
"S133"	"19543"	"19554"	""	""
"S133"	"19771"	"19782"	"parole"	""
"S133"	"21364"	"22454"	"sintagmi"	""
"S133"	"23358"	"23465"	"sintagmi"	""
"S133"	"23697"	"23758"	"parole"	""
"S133"	"24372"	"24395"	"parole"	""
"S133"	"27227"	"27505"	"sintagmi"	""
"S134"	"4750"	"4882"	"frasi"	""
"S134"	"5419"	"5680"	"misto"	""
"S134"	"11066"	"11111"	"parole"	""
"S134"	"13993"	"14156"	"misto"	""
"S134"	"18526"	"18669"	"frasi"	""
"S134"	"25183"	"25607"	"sintagmi"	""
"S134"	"27309"	"27384"	"parole"	""
"S135"	"13299"	"13469"	"frasi"	""
"S135"	"17586"	"17778"	"sintagmi"	""
"S135"	"17780"	"17838"	"parole"	""
"S136"	"4583"	"4643"	"misto"	""
"S136"	"5334"	"5361"	"parole"	""
"S136"	"6464"	"6599"	"frasi"	""
"S136"	"9968"	"10070"	"sintagmi"	""
"S137"	"1125"	"1242"	"parole"	""
"S137"	"1763"	"1923"	"sintagmi"	""
"S137"	"3313"	"3841"	"frasi"	""
"S137"	"7627"	"7658"	"parole"	""
"S137"	"11324"	"11428"	"sintagmi"	""
"S137"	"21256"	"21372"	"sintagmi"	""
"S138"	"7801"	"7867"	"parole"	""
"S138"	"13646"	"13731"	"frasi"	""
"S139"	"3023"	"3092"	"parole"	""
"S139"	"5130"	"5282"	"sintagmi"	""
"S139"	"7888"	"7930"	"parole"	""
"S139"	"17055"	"17236"	"frasi"	""
"S140"	"4506"	"4703"	"frasi"	""
"S140"	"7266"	"7759"	"sintagmi"	""
"S140"	"12776"	"12935"	"frasi"	""
"S140"	"11704"	"12255"	"frasi"	""
"S141"	"2102"	"2276"	"parole"	""
"S141"	"2847"	"2927"	"sintagmi"	""
"S141"	"7311"	"7368"	"misto"	""
"S141"	"9727"	"9757"	"parole"	""
"S141"	"13320"	"13748"	"sintagmi"	""
"S141"	"15245"	"15302"	"parole"	""
"S141"	"15427"	"15500"	"parole"	""
"S141"	"16131"	"16192"	"parole"	""
"S141"	"16508"	"16566"	"parole"	""
"S142"	"4061"	"4829"	"sintagmi"	""
"S142"	"6881"	"7168"	"frasi"	""
"S142"	"9109"	"9424"	"frasi"	""
