id	label	type
"person-1"	"Abba Giulio Cesare"	"person"
"essay-360"	"Savona: storia e natura"	"essay"
"person-2"	"Abbagnano Nicola"	"person"
"essay-206"	"Umanesimo e marxismo"	"essay"
"person-3"	"Abbas il Grande- sciaÃÄ di Persia"	"person"
"essay-79"	"il mihrab"	"essay"
"person-4"	"AbbeÃÅ GreÃÅgoire (Henry Baptiste GreÃÅgoire)"	"person"
"essay-48"	"Il patrimonio dei draghi"	"essay"
"person-5"	"Abbott Edwin Abbott"	"person"
"essay-27"	"Definizioni di territori: il fantastico"	"essay"
"essay-64"	"L'arcipelago dei luoghi immaginari"	"essay"
"person-6"	"Abelardo"	"person"
"essay-355"	"Del prendere posizione"	"essay"
"person-7"	"Abernathy Ralph"	"person"
"essay-363"	"Cartoline dall'America"	"essay"
"person-8"	"Abraham Cresques"	"person"
"essay-46"	"Il viandante nella mappa"	"essay"
"person-9"	"Accrocca Elio Filippo"	"person"
"essay-372"	"Palomar nel Massachusetts"	"essay"
"person-10"	"AddisonJoseph"	"person"
"essay-105"	"Washington Irving"	"essay"
"person-11"	"Adorno Theodor Wiesengrund"	"person"
"essay-11"	"L'antitesi operaia"	"essay"
"essay-21"	"Due interviste su scienza e letteratura"	"essay"
"essay-378"	"Colloquio con Ferdinando Camon"	"essay"
"person-12"	"Afanasjev Aleksandr Nikolaevic"	"person"
"essay-227"	"La tradizione popolare nelle fiabe"	"essay"
"person-13"	"Agamben Giorgio"	"person"
"essay-52"	"Ditelo coi nodi"	"essay"
"essay-144"	"L'esattezza e il caso (per Tommaso Landolfi)"	"essay"
"person-14"	"Agostino- santo"	"person"
"essay-87"	"Appendice: Cominciare e finire"	"essay"
"essay-238"	"Un progetto di rivista"	"essay"
"essay-260"	"Il libro, i libri"	"essay"
"essay-303"	"Pietro Redondi, Galileo eretico"	"essay"
"person-15"	"Aiolfi Luciano"	"person"
"essay-208"	"Abbiamo vinto ín molti"	"essay"
"person-16"	"Aizenberg Roberto"	"person"
"essay-290"	"II pieno e il vuoto (per Aizenberg)"	"essay"
"person-17"	"Alain (EÃÅmile Auguste Chartier)"	"person"
"essay-171"	"In memoria di Sergio Solmi"	"essay"
"person-18"	"Alberoni Francesco"	"person"
"essay-301"	"Saggi sull'amore di Ortega y Gasset"	"essay"
"person-19"	"Alberti Leon Battista"	"person"
"essay-61"	"La luce negli occhi"	"essay"
"person-20"	"Albertoni Ettore A."	"person"
"essay-374"	"Autobiografia politica giovanile"	"essay"
"person-21"	"Alcmane"	"person"
"essay-149"	"Primo Levi, La ricerca delle radici"	"essay"
"person-22"	"Aleramo Sibilla"	"person"
"essay-241"	"La «Biblioteca romantica» Mondadori"	"essay"
"person-23"	"Alessandro I-zar"	"person"
"essay-122"	"Lev Tolstoj, Due ussari"	"essay"
"person-24"	"Alessandro III-zar"	"person"
"essay-93"	"I piccoli uomini di Anton Cechov"	"essay"
"essay-362"	"Taccuino di viaggio nell'Unione Sovietica"	"essay"
"person-25"	"Alfieri Vittorio"	"person"
"essay-214"	"Mancata fortuna del romanzo italiano"	"essay"
"person-26"	"Algarotti Francesco"	"person"
"essay-150"	"L'altrui mestiere di Primo Levi"	"essay"
"person-27"	"Alighieri Dante"	"person"
"essay-19"	"Cibernetica e fantasmi (Appunti sulla narrativa come processo combinatorio)"	"essay"
