name,occurrences,pages
"Abbagnano Nicola","0","1470;"
"Abbas il Grande- scià di Persia","0","613;614;"
"Abbé Grégoire (Henry Baptiste Grégoire)","0","442;"
"Abbott Edwin Abbott","0","267;548;"
"Abelardo","0","2355;"
"Abernathy Ralph","0","2513;2519;2520;"
"Abraham Cresques","0","427;"
"Accrocca Elio Filippo","0","2709;"
"Addison Joseph","0","866;"
"Adorno Theodor Wiesengrund","0","132;235;2794;"
"Afanasjev Aleksandr Nikolaevič","0","1613;"
"Agamben Giorgio","0","470;1111;"
"Agostino- santo","0","738;1713;1859;2082;"
"Aizenberg Roberto","0","1997;1998;"
"Alain (Émile Auguste Chartier)","0","1255;"
"Alberoni Francesco","0","2062;2065;"
"Alberti Leon Battista","0","527;"
"Albertoni Ettore A.","0","2733;"
"Alcmane","0","1137;"
"Aleramo Sibilla","0","1727;"
"Alessandro I- zar","0","992;"
"Alessandro III- zar","0","799;2486;"
"Alfieri Vittorio","0","1508;"
"Algarotti Francesco","0","1139;"
"Alighieri Dante","0","212;232;233;247;527;641;642;697;698;699;700;702;738;747;763;805;1147;1296;1299;1300;1341;1553;1639;1650;1653;1700;1727;1858;1969;2066;2115;2117;2120;2433;2457;2873;"
"Allen Woody","0","369;1955;"
"Almansi Guido","0","261;1683;1684;1685;1686;1687;1802;"
"Altdorfer Albrecht","0","1999;2000;"
"Alvarado Pedro de","0","2014;"
"Alvaro Corrado","0","69;1251;1728;1836;"
"Ambrogio- santo","0","744;1859;"
"Ambrosoli Guglielmo","0","1320;"
"Amendola Giorgio","0","2154;2156;"
"Amicucci Ermanno","0","2122;"
"Amidei Sergio","0","2154;"
"Amim Ludwig Achim von","0","445;710;1567;1568;1657;1674;"
"Amoretti Gaspare","0","2734;"
"Anceschi Luciano","0","1844;"
"Anders Günther","0","135;"
"Andersen Hans Christian","0","1137;"
"Anderson Sherwood","0","63;817;1283;1284;1285;"
"Angelico- beato","0","1988;"
"Anglani Bartolo","0","897;"
"Annibale","0","2399;"
"Ansaldo Giovanni","0","2739;"
"Antelme Robert","0","182;"
"Antinori Orazio","0","1760;"
"Antonioni Michelangelo","0","1909;1921;1925;1926;1927;1928;"
"Antonicelli Franco","0","1733;1919;2818;2819;2820;2821;2822;"
"Antonini Ezio","0","2733;"
"Antonini Luigi","0","2146;"
"Antonio Marco","0","2338;"
"Apollinaire Guillaume","0","112;1384;2071;"
"Appelius Mario","0","2100;"
"Apuleio","0","1536;1695;"
"Aragon Louis","0","1861;2121;"
"Arakawa Shusaku","0","2001;2002;2003;2004;2005;"
"Arbasino Alberto","0","143;154;197;400;1537;760;761;762;763;764;765;766;767;768;2828;"
"Archimede","0","2448;"
"Arcimboldo (Giuseppe Arcimboldi)","0","853;855;"
"Arimondi Giuseppe","0","1763;1764;"
"Ariosto Ludovico","0","74;75;232;266;342;389;649;759;760;761;762;763;764;767;768;770;771;772;774;884;964;967;968;1254;1297;1481;1640;1677;1689;1697;1698;1699;1758;1761;1848;1849;"
"Aristarco Guido","0","1889;1891;"
"Aristofane","0","194;"
"Aristotele","0","715;853;854;928;1806;2041;2081;2086;"
"Arliss George","0","1041;"
"Armendariz Pedro","0","1892;"
"Arpino Giovanni","0","1766;"
"Artaud Antonin","0","113;1047;"
"Asafiev Boris","0","2435;"
"Aschenbach Gustav von","0","1906;1907;1908;"
"Asor Rosa Alberto","0","353;1832;1833;1834;1835;1836;1837;1838;1839;"
"Astor John Jacob","0","866;"
"Ataturk Kemal","0","2736;"
"Attilio Regolo","0","1979;"
"Auer Misha","0","2623;"
"Auerbach Erich","0","742;743;745;1519;1756;"
"Aulnoy Marie Cathérine Madame de","0","1583;"
"Austen Jane","0","1091;1529;1684;1731;"
"Austin William","0","1662;"
"Gautier Théophile","0","475;710;824;862;1061;1658;1679;"
"Averroè","0","1989;2001;"
"Aymonino Carlo","0","281;"
"Babel' Isaak Emmanuilovič","0","45;1135;"
"Babic","0","2143;2146;"
"Bacchelli Riccardo","0","1727;1728;"
"Bachelard Gaston","0","1448;"
"Bachtin Michail Michailovič","0","250;256;258;259;260;845;1270;1286;1287;1288;1289;1290;"
"Bacon Francis (Francesco Bacone)","0","548;853;1069;1849;"
"Baglio Gino","0","1495;"
"Baker Carlos","0","1320;"
"Balbo Cesare","0","2894;"
"Balbo Felice","0","1473;1474;1475;2892;2893;2894;2895;2896;2897;2898;2899;"
"Baldissera Antonio","0","1760;"
"Balla Giacomo","0","2846;2847;"
"Ballerini Carlo","0","328;"
"Baltard Victor","0","1143;"
