name,occurrences,essays
"Abba Giulio Cesare","3","Per una letteratura che chieda di più (Vittorini e il Sessantotto);Savona: storia e natura;"
"Abbagnano Nicola","1","L'italiano, una lingua tra le altre lingue;Umanesimo e marxismo;"
"Abbas il Grande- sciaÃÄ di Persia","2","Tre correnti del romanzo italiano d'oggi;il mihrab;"
"AbbeÃÅ GreÃÅgoire (Henry Baptiste GreÃÅgoire)","1","Natura e storia nel romanzo;Il patrimonio dei draghi;"
"Abbott Edwin Abbott","2","Definizioni di territori: il fantastico;Diario americano 1960;Il mare dell'oggettività;L'arcipelago dei luoghi immaginari;"
"Abelardo","1","Due interviste su scienza e letteratura;Del prendere posizione;"
"Abernathy Ralph","3","Cartoline dall'America;La macchina spasmodica;"
"Abraham Cresques","1","Natura e storia nel romanzo;Il viandante nella mappa;"
"Accrocca Elio Filippo","1","II romanzo come spettacolo;Palomar nel Massachusetts;"
"AddisonJoseph","1","Dialogo di due scrittori in crisi;Washington Irving;"
"Adorno Theodor Wiesengrund","3","L'antitesi operaia;Hemingway e noi;Due interviste su scienza e letteratura;Moro ovvero una tragedia del potere;Per Fourier: 2. L'ordinatore dei desideri;Colloquio con Ferdinando Camon;"
"Afanasjev Aleksandr Nikolaevic","1","Vittorini: progettazione e letteratura;La tradizione popolare nelle fiabe;"
"Agamben Giorgio","2","Natura e storia nel romanzo;Ditelo coi nodi;La sfida al labirinto;L'esattezza e il caso (per Tommaso Landolfi);"
"Agostino- santo","4","Tre correnti del romanzo italiano d'oggi;Appendice: Cominciare e finire;Vittorini: progettazione e letteratura;Un progetto di rivista;Il libro, i libri;Cibernetica e fantasmi (Appunti sulla narrativa come processo combinatorio);Pietro Redondi, Galileo eretico;"
"Aiolfi Luciano","2","L'italiano, una lingua tra le altre lingue;Abbiamo vinto ín molti;"
"Aizenberg Roberto","2","Per chi si scrive? (Lo scaffale ipotetico);II pieno e il vuoto (per Aizenberg);"
"Alain (EÃÅmile Auguste Chartier)","1","Un'amara serenità;In memoria di Sergio Solmi;"
"Alberoni Francesco","2","Cibernetica e fantasmi (Appunti sulla narrativa come processo combinatorio);Saggi sull'amore di Ortega y Gasset;"
"Alberti Leon Battista","1","Il mare dell'oggettività;La luce negli occhi;"
"Albertoni Ettore A.","1","Autobiografia politica giovanile;"
"Alcmane","1","La sfida al labirinto;Primo Levi, La ricerca delle radici;"
"Aleramo Sibilla","1","Vittorini: progettazione e letteratura;La «Biblioteca romantica» Mondadori;"
"Alessandro I-zar","1","Lev Tolstoj, Due ussari;"
"Alessandro III-zar","2","Pavese: essere e fare;I piccoli uomini di Anton Cechov;La letteratura come proiezione del desiderio (Per l'Anatomia della critica di Northrop Frye);Taccuino di viaggio nell'Unione Sovietica;"
"Alfieri Vittorio","1","L'italiano, una lingua tra le altre lingue;Mancata fortuna del romanzo italiano;"
"Algarotti Francesco","1","La sfida al labirinto;L'altrui mestiere di Primo Levi;"
"Alighieri Dante","36","Cibernetica e fantasmi (Appunti sulla narrativa come processo combinatorio);Fato antico e fato moderno di Giorgio de Santillana;Due interviste su scienza e letteratura;Gli uomini giusti con le cose giuste;La letteratura come proiezione del desiderio (Per l'Anatomia della critica di Northrop Frye);Taccuino di viaggio nell'Unione Sovietica;Il mare dell'oggettività;La luce negli occhi;Tre correnti del romanzo italiano d'oggi;1. Leggerezza;4. Visibilità;Appendice: Cominciare e finire;Pavese: essere e fare;Ariosto: la struttura dell'Orlando Furioso;Carlo Collodi, Pinocchio;La sfida al labirinto;Giovanni Macchia, Le rovine di Parigi;L'antitesi operaia;Jorge Luis Borges;Manniano all'incontrario;L'antilingua;Le parità e le storie morali dei nostri villani di Serafino Amabile Guastella;Vittorini: progettazione e letteratura;Castelli di delizie e castelli del terrore;I cavalieri del Graal;Libri di cavalleria: Tírant lo Blanc;La «Biblioteca romantica» Mondadori;Il libro, i libri;Reinhoud;Saggi sull'amore di Ortega y Gasset;Natura e storia nel romanzo;Per Fourier: 2. L'ordinatore dei desideri;Calvert Casey;"
"Allen Woody","2","Natura e storia nel romanzo;Il sigaro di Groucho;Filosofia e letteratura;E la nave va di Federico Fellini;"
"Almansi Guido","7","Definizioni di territori: l'erotico (Il sesso e il riso);Quaderno americano;Vittorini: progettazione e letteratura;Amica ironia di Guido Almansi;Furti ad arte (conversazione con Tullio Pericoli);"
"Altdorfer Albrecht","2","Per chi si scrive? (Lo scaffale ipotetico);Histoire du chevalier parenthèse (per Albrecht Altdorfer);"
"Alvarado Pedro de","1","Per chi si scrive? (Lo scaffale ipotetico);Montezuma e Cortés;"
"Alvaro Corrado","4","Tre correnti del romanzo italiano d'oggi;3. Esattezza;Un'amara serenità;Ricordo di Fortunato Seminara;Vittorini: progettazione e letteratura;La «Biblioteca romantica» Mondadori;Letteratura e potere (su un saggio di Alberto Asor Rosa);"
"Ambrogio-santo","2","Tre correnti del romanzo italiano d'oggi;Appendice: Cominciare e finire;Vittorini: progettazione e letteratura;Il libro, i libri;"
"Ambrosoli Guglielmo","1","L'antitesi operaia;Hemingway e noi;"
"Amendola Giorgio","2","Cibernetica e fantasmi (Appunti sulla narrativa come processo combinatorio);Celeste Negarville;"
"Amicucci Ermanno","1","Cibernetica e fantasmi (Appunti sulla narrativa come processo combinatorio);Fato antico e fato moderno di Giorgio de Santillana;"
"Amidei Sergio","1","Cibernetica e fantasmi (Appunti sulla narrativa come processo combinatorio);Celeste Negarville;"
"Amoretti Gaspare","1","Autobiografia politica giovanile;"
"Anceschi Luciano","1","Vittorini: progettazione e letteratura;Sulla neo-avanguardia;"
"Anders Giinther","1","L'antitesi operaia;"
"Andersen Hans Christian","1","La sfida al labirinto;Primo Levi, La ricerca delle radici;"
"Anderson Sherwood","5","Tre correnti del romanzo italiano d'oggi;Le sculture e i nomadi;Pavese: essere e fare;I capitani di Conrad;L'antitesi operaia;Sherwood Anderson scrittore artigiano;"
"Angelico-beato","1","La squadratura (per Giulio Paolini);"
"Anglani Bartolo","1","Giammaria Ortes;"
"Annibale","1","Per una letteratura che chieda di più (Vittorini e il Sessantotto);Savona: storia e natura;"
"Ansaldo Giovanni","1","Autobiografia politica giovanile;"
"Antelme Robert","1","Vittorini: progettazione e letteratura;Perché leggere i classici;"
"Antinori Orazio","1","Vittorini: progettazione e letteratura;La prima guerra d'Africa vista dai nostri padri e vista dagli abissini;"
"Antonicelli Franco","7","Vittorini: progettazione e letteratura;La «Biblioteca romantica» Mondadori;Filosofia e letteratura;Quattro domande sul cinema italiano;Natura e storia nel romanzo;Per Fourier: 2. L'ordinatore dei desideri;Ricordo di Franco Antonicelli;"
"Antonini Ezio","1","Autobiografia politica giovanile;"
"Antonini Luigi","1","Cibernetica e fantasmi (Appunti sulla narrativa come processo combinatorio);Un leader comunista: Vittorio Vidali;"
"Antonio Marco","1","Due interviste su scienza e letteratura;Le cose mai uscite da quella prigione;"
"Antoniani Michelangelo","6","Filosofia e letteratura;Le amiche e Pavese (lettera aperta a Michelangelo Antonioni);Quattro domande sul cinema italiano;L'eclisse di Antonioni;"
"Apollinaire Guillaume","3","La sfida al labirinto;il futuro ha un cuore antico di Carlo Levi;L'antitesi operaia;Omaggio a Octavio Paz;Cibernetica e fantasmi (Appunti sulla narrativa come processo combinatorio);Lo sguardo da lontano di Claude Lévi-Strauss;"
"Appelius Mario","1","Cibernetica e fantasmi (Appunti sulla narrativa come processo combinatorio);Fato antico e fato moderno di Giorgio de Santillana;"
"Apuleio","2","Film e romanzo;Vittorini: progettazione e letteratura;Un'antologia di racconti «neri»;"
"Aragon Louis","2","Vittorini: progettazione e letteratura;Perché scrivete?;Cibernetica e fantasmi (Appunti sulla narrativa come processo combinatorio);Fato antico e fato moderno di Giorgio de Santillana;"
"Arakawa Shusaku","5","Per chi si scrive? (Lo scaffale ipotetico);Per Arakawa;"
"Arbasino Alberto","15","Non darò più fiato alle trombe;La filosofia di Raymond Queneau;L'antilingua;Inchiesta;Definizioni di territori: il comico;Natura e storia nel romanzo;Appendice: Sotto quella pietra;Pavese: essere e fare;Ariosto: la struttura dell'Orlando Furioso;Per Fourier: 2. L'ordinatore dei desideri;Situazione 1978;"
"Archimede","1","La letteratura come proiezione del desiderio (Per l'Anatomia della critica di Northrop Frye);Taccuino di viaggio nell'Unione Sovietica;"
"Arcimboldo (Giuseppe Arcimboldi)","2","Dialogo di due scrittori in crisi;Il libro della natura in Galileo;"
"Arimondi Giuseppe","2","Vittorini: progettazione e letteratura;La prima guerra d'Africa vista dai nostri padri e vista dagli abissini;"
"Ariosto Ludovico","36","Tre correnti del romanzo italiano d'oggi;Appendice: Cominciare e finire;Due interviste su scienza e letteratura;Definizioni di territori: il fantastico;Diario americano 1960;Natura e storia nel romanzo;Un progetto di pubblico;I livelli della realtà in letteratura;1. Leggerezza;Ariosto: la struttura dell'Orlando Furioso;Pavese: essere e fare;Piccola antologia di ottave;Dialogo di due scrittori in crisi;Le sette principesse di Nezami;Guida alla Chartreuse a uso dei nuovi lettori;L'isola del tesoro ha il suo segreto;Un'amara serenità;In memoria di Sergio Solmi;L'antitesi operaia;Jorge Luis Borges;L'italiano, una lingua tra le altre lingue;Ingegneri e demolitori;Vittorini: progettazione e letteratura;Castelli di delizie e castelli del terrore;11 fantastico nella letteratura italiana;Un'antologia di racconti «neri»;Libri di cavalleria: Tírant lo Blanc;La prima guerra d'Africa vista dai nostri padri e vista dagli abissini;Il libro, i libri;"
"Aristarco Guido","2","Filosofia e letteratura;I1 realismo italiano nel cinema e nella narrativa;La paura di sbagliare;"
"Aristofane","1","Filosofia e letteratura;Su Pasolini: una risposta a Moravia;"
"Aristotele","8","Tre correnti del romanzo italiano d'oggi;5. Molteplicità;Dialogo di due scrittori in crisi;Il libro della natura in Galileo;La «belle époque» inaspettata;II cielo, l'uomo, l'elefante (su Plinio il Vecchio);Vittorini: progettazione e letteratura;Furti ad arte (conversazione con Tullio Pericoli);Ilya Prigogine e Isabelle Stengers, La nuova alleanza;Cibernetica e fantasmi (Appunti sulla narrativa come processo combinatorio);Pietro Redondi, Galileo eretico;Fato antico e fato moderno di Giorgio de Santillana;"
"Arliss George","1","Cecchi in Messico;"
"Armendariz Pedro","1","Filosofia e letteratura;La paura di sbagliare;"
"Amim Ludwig Achim von","6","Natura e storia nel romanzo;Il patrimonio dei draghi;Tre correnti del romanzo italiano d'oggi;4. Visibilità;L'antilingua;Le fiabe del focolare di Jacob e Wilhelm Grimm;Vittorini: progettazione e letteratura;Racconti fantastici dell'Ottocento;11 fantastico nella letteratura italiana;"
"Arpino Giovanni","1","Vittorini: progettazione e letteratura;La «tematica industriale»;"
"Artaud Antonin","2","La sfida al labirinto;Carlo Levi, Il quaderno a cancelli;Gianni Celati, Comiche;"
"Asafiev Boris","1","La letteratura come proiezione del desiderio (Per l'Anatomia della critica di Northrop Frye);Taccuino di viaggio nell'Unione Sovietica;"
"Aschenbach Gustav von","3","Filosofia e letteratura;La noia a Venezia;"
"Asor Rosa Alberto","9","Natura e storia nel romanzo;Usi politici giusti e sbagliati della letteratura;Vittorini: progettazione e letteratura;Letteratura e potere (su un saggio di Alberto Asor Rosa);"
"Astor John Jacob","1","Dialogo di due scrittori in crisi;Washington Irving;"
"Ataturk Kemal","1","Autobiografia politica giovanile;"
"Attilio Regolo","1","Definizioni di territori: il comico;Una mostra di William Turner;"
"Auer Misha","1","Definizioni di territori: l'erotico (Il sesso e il riso);I classici al Motel;"
"Auerbach Erich","5","Tre correnti del romanzo italiano d'oggi;Appendice: Cominciare e finire;L'italiano, una lingua tra le altre lingue;Questioni sul realismo;Vittorini: progettazione e letteratura;Libri per la discussione;"
"Aulnoy Marie CatheÃÅrine Madame de","1","L'antilingua;I racconti di Mamma l'Oca di Charles Perrault;"
"Austen Jane","4","La sfida al labirinto;Natalia Ginzburg o le possibilità del romanzo borghese;L'italiano, una lingua tra le altre lingue;Risposte a 9 domande sul romanzo;Vittorini: progettazione e letteratura;Amica ironia di Guido Almansi;La «Biblioteca romantica» Mondadori;"
"Austin William","1","Vittorini: progettazione e letteratura;Racconti fantastici dell'Ottocento;"
"AverroeÃÄ","2","La squadratura (per Giulio Paolini);Per chi si scrive? (Lo scaffale ipotetico);Per Arakawa;"
"Aymonino Carlo","1","Natura e storia nel romanzo;Per Fourier: 2. L'ordinatore dei desideri;"
"Babel' Isaak Emmanuilovic","2","Natura e storia nel romanzo;Prima dell'alfabeto;La sfida al labirinto;Primo Levi, La ricerca delle radici;"
"Babic","2","Cibernetica e fantasmi (Appunti sulla narrativa come processo combinatorio);Un leader comunista: Vittorio Vidali;"
"Bacchelli Riccardo","2","Vittorini: progettazione e letteratura;La «Biblioteca romantica» Mondadori;"
"Bachelard Gaston","1","Non darò più fiato alle trombe;Junichiro Tanizaki, Libro d'ombra;"
"Bachtin Michail Michailovic","12","La letteratura come proiezione del desiderio (Per l'Anatomia della critica di Northrop Frye);Cartoline dall'America;Il mondo alla rovescia;Dialogo di due scrittori in crisi;Denis Diderot, Jacques le fataliste;L'antitesi operaia;Viaggio, dialogo, utopia;Bachtin;"
"Bacon Francis (Francesco Bacone)","4","Il mare dell'oggettività;L'arcipelago dei luoghi immaginari;Dialogo di due scrittori in crisi;Il libro della natura in Galileo;La sfida al labirinto;mondo è un carciofo (per Carlo Emilio Gadda);Vittorini: progettazione e letteratura;Il libro, i libri;"
"Baglio Gino","1","L'italiano, una lingua tra le altre lingue;La letteratura italiana sulla Resistenza;"
"Baker Carlos","1","L'antitesi operaia;Hemingway e noi;"
"Balbo Cesare","1","Natura e storia nel romanzo;Per Fourier: 2. L'ordinatore dei desideri;Ricordo di Felice Balbo;"
"Balbo Felice","11","L'italiano, una lingua tra le altre lingue;Marxismo e cattolicesimo;Natura e storia nel romanzo;Per Fourier: 2. L'ordinatore dei desideri;Ricordo di Felice Balbo;"
"Baldissera Antonio","1","Vittorini: progettazione e letteratura;La prima guerra d'Africa vista dai nostri padri e vista dagli abissini;"
"Balla Giacomo","2","Natura e storia nel romanzo;Per Fourier: 2. L'ordinatore dei desideri;Album di francobolli;"
"Ballerini Carlo","1","Natura e storia nel romanzo;I Promessi Sposi: il romanzo dei rapporti di forza;"
"Baltard Victor","1","La sfida al labirinto;Giovanni Macchia, Le rovine di Parigi;"
"Balzac HonoreÃÅ de","55","Natura e storia nel romanzo;I Promessi Sposi: il romanzo dei rapporti di forza;Gli dèi della città;Usi politici giusti e sbagliati della letteratura;La sfida al labirinto;L'esattezza e il caso (per Tommaso Landolfi);II romanzo come spettacolo;Palomar nel Massachusetts;Un progetto di pubblico;Le meraviglie della cronaca nera;Scrittori che disegnano;La città pensata: la misura degli spazi;Tre correnti del romanzo italiano d'oggi;4. Visibilità;5. Molteplicità;Pavese: essere e fare;La città-romanzo in Balzac;Honoré de Balzac, I piccoli borghesi;I capitani di Conrad;Dialogo di due scrittori in crisi;Gustave Flaubert, Trois contes;Guida alla Chartreuse a uso dei nuovi lettori;L'isola del tesoro ha il suo segreto;Mark Twain, L'uomo che corruppe Hadleyburg;II Pasticciaccio;Natalia Ginzburg o le possibilità del romanzo borghese;Giovanni Macchia, Le rovine di Parigi;Ricordo di Lucio Mastronardi;Silvio Micheli, Un figlio ella disse;Un'amara serenità;Rancore di Stefano Terra;L'antitesi operaia;Pasternak e la rivoluzione;Ricordo di Georges Perec;Perec, La vita istruzioni per l'uso;L'italiano, una lingua tra le altre lingue;Ingegneri e demolitori;Saremo come Omero!;Risposte a 9 domande sul romanzo;Film e romanzo;L'antilingua;I racconti di Mamma l'Oca di Charles Perrault;Vittorini: progettazione e letteratura;Racconti fantastici dell'Ottocento;Perché leggere i classici;Cibernetica e fantasmi (Appunti sulla narrativa come processo combinatorio);La città di domani;La letteratura come proiezione del desiderio (Per l'Anatomia della critica di Northrop Frye);Taccuino di viaggio nell'Unione Sovietica;Colloquio con Ferdinando Camon;"
"Bandella Matteo","1","Vittorini: progettazione e letteratura;11 fantastico nella letteratura italiana;"
