name,occurrences,pages
Abba Giulio Cesare,3,2392;2393;2394;
Abbagnano Nicola,1,1470;
Abbas il Grande- scià di Persia,2,613;614;
Abbé Grégoire (Henry Baptiste Grégoire),1,442;
Abbott Edwin Abbott,2,267;548;
Abelardo,1,2355;
Abernathy Ralph,3,2513;2519;2520;
Abraham Cresques,1,427;
Accrocca Elio Filippo,1,2709;
AddisonJoseph,1,866;
Adorno Theodor Wiesengrund,3,132;235;2794;
Afanasjev Aleksandr Nikolaevic,1,1613;
Agamben Giorgio,2,470;1111;
Agostino- santo,4,738;1713;1859;2082;
Aiolfi Luciano,2,1476;1477;
Aizenberg Roberto,2,1997;1998;
Alain (Émile Auguste Chartier),1,1255;
Alberoni Francesco,2,2062;2065;
Alberti Leon Battista,1,527;
Albertoni Ettore A.,1,2733;
Alcmane,1,1137;
Aleramo Sibilla,1,1727;
Alessandro I-zar,1,992;
Alessandro III-zar,2,799;2486;
Alfieri Vittorio,1,1508;
Algarotti Francesco,1,1139;
Alighieri Dante,36,212;232;233;247;527;641;642;697;698;699;700;702;738;747;763;805;1147;1296;1299;1300;1341;1553;1639;1650;1653;1700;1727;1858;1969;2066;2115;2117;2120;2433;2457;2873;
Allen Woody,2,369;1955;
Almansi Guido,7,261;1683;1684;1685;1686;1687;1802;
Altdorfer Albrecht,2,1999;2000;
Alvarado Pedro de,1,2014;
Alvaro Corrado,4,69;1251;1728;1836;
Ambrogio-santo,2,744;1859;
Ambrosoli Guglielmo,1,1320;
Amendola Giorgio,2,2154;2156;
Amicucci Ermanno,1,2122;
Amidei Sergio,1,2154;
Amoretti Gaspare,1,2734;
Anceschi Luciano,1,1844;
Anders Giinther,1,135;
Andersen Hans Christian,1,1137;
Anderson Sherwood,5,63;817;1283;1284;1285;
Angelico-beato,1,1988;
Anglani Bartolo,1,897;
Annibale,1,2399;
Ansaldo Giovanni,1,2739;
Antelme Robert,1,182;
Antinori Orazio,1,1760;
Antonicelli Franco,7,1733;1919;2818;2819;2820;2821;2822;
Antonini Ezio,1,2733;
Antonini Luigi,1,2146;
Antonio Marco,1,2338;
Antoniani Michelangelo,6,1909;1921;1925;1926;1927;1928;
Apollinaire Guillaume,3,112;1384;2071;
Appelius Mario,1,2100;
Apuleio,2,1536;1695;
Aragon Louis,2,1861;2121;
Arakawa Shusaku,5,2001;2002;2003;2004;2005;
Arbasino Alberto,15,143;154;197;400;1537;760;761;762;763;764;765;766;767;768;2828;
Archimede,1,2448;
Arcimboldo (Giuseppe Arcimboldi),2,853;855;
Arimondi Giuseppe,2,1763;1764;
Ariosto Ludovico,36,74;75;232;266;342;389;649;759;760;761;762;763;764;767;768;770;771;772;774;884;964;967;968;1254;1297;1481;1640;1677;1689;1697;1698;1699;1758;1761;1848;1849;
Aristarco Guido,2,1889;1891;
Aristofane,1,194;
Aristotele,8,715;853;854;928;1806;2041;2081;2086;
Arliss George,1,1041;
Armendariz Pedro,1,1892;
Amim Ludwig Achim von,6,445;710;1567;1568;1657;1674;
Arpino Giovanni,1,1766;
Artaud Antonin,2,113;1047;
Asafiev Boris,1,2435;
Aschenbach Gustav von,3,1906;1907;1908;
Asor Rosa Alberto,9,353;1832;1833;1834;1835;1836;1837;1838;1839;
Astor John Jacob,1,866;
Ataturk Kemal,1,2736;
Attilio Regolo,1,1979;
Auer Misha,1,2623;
Auerbach Erich,5,742;743;745;1519;1756;
Aulnoy Marie Cathérine Madame de,1,1583;
Austen Jane,4,1091;1529;1684;1731;
Austin William,1,1662;
Averroè,2,1989;2001;
Aymonino Carlo,1,281;
Babel' Isaak Emmanuilovic,2,45;1135;
Babic,2,2143;2146;
Bacchelli Riccardo,2,1727;1728;
Bachelard Gaston,1,1448;
Bachtin Michail Michailovic,12,250;256;258;259;260;845;1270;1286;1287;1288;1289;1290;
Bacon Francis (Francesco Bacone),4,548;853;1069;1849;
Baglio Gino,1,1495;
Baker Carlos,1,1320;
Balbo Cesare,1,2894;
Balbo Felice,11,1473;1474;1475;2892;2893;2894;2895;2896;2897;2898;2899;
Baldissera Antonio,1,1760;
Balla Giacomo,2,2846;2847;
Ballerini Carlo,1,328;
Baltard Victor,1,1143;
Balzac Honoré de,55,34;35;36;110;272;343;458;474;475;516;711;712;713;714;730;775;776;777;778;779;780;782;783;784;785;786;787;788;789;817;851;959;965;967;996;1079;1090;1143;1166;1176;1257;1365;1390;1396;1481;1485;1529;1533;1580;1658;1816;2240;2492;2723;2785;
Bandella Matteo,1,1677;
Bandini Luigi,1,1470;
Bandinu Bachisio,1,1152;
Banfi Antonio,1,2807;
Banti Anna,1,9;
Barachini Danilo,1,1476;
Baratieri Oreste,4,1757;1760;1763;1764;
Barbato Antonio,1,1325;
Barbey d'Aurevilly Jules­ Amédée,6,476;542;656;657;659;1099;
Barbiellini Amidei Gaspare,1,1152;
Barca Luciano,1,2853;
Bargellini Piero,1,804;
Barnum Phineas Taylor,2,439;923;
BaronJacques,1,1415;
Barral Carlos,1,2721;
BarrauJacques,1,1799;
Barrili Anton Giulio,4,2393;2394;2395;2400;
BarthJohn,1,2909;
Barthelme Donald,1,2909;
Barthes Roland,26,183;188;208;229;230;231;272;284;285;288;298;300;302;303;306;389;481;482;483;484;485;486;683;951;966;2788;
Bartholdi Frédéric Auguste,1,424;
Bart6k Béla,1,2236;
Basevi Enrica,1,279;
Basile Giambattista,21,884;887;1545;1579;1585;1587;1588;1589;1590;1591;1592;1593;1595;1596;1597;1598;1600;1616;1617;1666;1677;
Bassani Giorgio,7,68;69;1223;1787;1788;1896;2713;
Bataille Georges,11,182;261;778;1335;1415;1416;1417;1418;1424;1425;2789;
Battaglia Roberto,8,1757;1758;1759;1760;1761;1762;1763;1764;
Baudelaire Charles,22,108;109;296;477;516;536;685;779;780;781;931;946;968;1020;1143;1144;1146;1147;1428;1432;1661;1662;
Bauer Riccardo,1,2857;
Bausani Alessandro,3,881;882;883;
Baziin Francisco Garda,1,805;
Bazlen Roberto (detto Bobi),4,1007;1008;1009;1256;
Bazzero Ambrogio,1,1691;
Beatles,1,548;
Beaumont- Mme Le Prince de,1,1583;
Beckett Samuel,17,54;117;168;169;190;191;195;265;711;752;839;1680;1686;1771;1862;1969;2767;
Bécquer Gustavo Adolfo,2,1665;1675;
Beethoven Ludwig van,1,1328;
Beli Graham,1,2697;
