name,qid,referencesLength,pages,essays
"Abbagnano Nicola","Q315251","1","1470;","206;"
"Abbas il Grande- scià di Persia","Q171349","2","613;614;","79;"
"Abbé Grégoire (Henry Baptiste Grégoire)","Q561218","1","442;","48;"
"Abbott Edwin Abbott","Q531606","2","267;548;","27;64;"
"Abelardo","Q4295","1","2355;","363;"
"Abernathy Ralph","Q545488","3","2513;2519;2520;","371;"
"Abraham Cresques","Q329893","1","427;","46;"
"Accrocca Elio Filippo","Q3723020","1","2709;","383;"
"Addison Joseph","Q17507964","1","866;","105;"
"Adorno Theodor Wiesengrund","Q152388","3","132;235;2794;","11;21;390;"
"Afanasjev Aleksandr Nikolaevič","Q325004","1","1613;","227;"
"Agamben Giorgio","Q311687","2","470;1111;","52;144;"
"Agostino- santo","Q8018","4","738;1713;1859;2082;","87;238;260;303;"
"Aizenberg Roberto","Q3436822","2","1997;1998;","290;"
"Alain (Émile Auguste Chartier)","Q275003","1","1255;","171;"
"Alberoni Francesco","Q1386131","2","2062;2065;","301;"
"Alberti Leon Battista","Q182046","1","527;","61;"
"Albertoni Ettore A.","Q3733861","1","2733;","386;"
"Alcmane","Q298850","1","1137;","149;"
"Aleramo Sibilla","Q287741","1","1727;","241;"
"Alessandro I- zar","Q15193","1","992;","122;"
"Alessandro III- zar","Q120180","2","799;2486;","93;370;"
"Alfieri Vittorio","Q296244","1","1508;","214;"
"Algarotti Francesco","Q439081","1","1139;","150;"
"Alighieri Dante","Q1067","36","212;232;233;247;527;641;642;697;698;699;700;702;738;747;763;805;1147;1296;1299;1300;1341;1553;1639;1650;1653;1700;1727;1858;1969;2066;2115;2117;2120;2433;2457;2873;","19;21;23;61;82;85;87;88;94;151;179;188;222;229;230;236;241;260;284;301;309;310;370;404;"
"Allen Woody","Q25089","2","369;1955;","39;280;"
"Almansi Guido","Q3779157","7","261;1683;1684;1685;1686;1687;1802;","26;234;255;"
"Altdorfer Albrecht","Q153746","2","1999;2000;","291;"
"Alvarado Pedro de","Q210900","1","2014;","294;"
"Alvaro Corrado","Q371925","4","69;1251;1728;1836;","4;170;241;258;"
"Ambrogio- santo","Q43689","2","744;1859;","87;260;"
"Ambrosoli Guglielmo","","1","1320;","184;"
"Amendola Giorgio","Q939831","2","2154;2156;","317;"
"Amicucci Ermanno","Q799111","1","2122;","310;"
"Amidei Sergio","Q1360286","1","2154;","317;"
"Amim Ludwig Achim von","Q70988","6","445;710;1567;1568;1657;1674;","48;85;223;231;233;"
"Amoretti Gaspare","","1","2734;","386;"
"Anceschi Luciano","Q1360286","1","1844;","259;"
"Anders Günther","Q60884","1","135;","11;"
"Andersen Hans Christian","Q5673","1","1137;","149;"
"Anderson Sherwood","Q233898","5","63;817;1283;1284;1285;","4;97;177;"
"Angelico- beato","Q5664","1","1988;","287;"
"Anglani Bartolo","","1","897;","111;"
"Annibale","Q36456","1","2399;","368;"
"Ansaldo Giovanni","Q3766419","1","2739;","386;"
"Antelme Robert","Q658382","1","182;","15;"
"Antinori Orazio","Q1385220","1","1760;","247;"
"Antonioni Michelangelo","Q55433","6","1909;1921;1925;1926;1927;1928;","269;272;273;"
"Antonicelli Franco","Q3751115","7","1733;1919;2818;2819;2820;2821;2822;","241;272;396;"
"Antonini Ezio","","1","2733;","386;"
"Antonini Luigi","Q6699941","1","2146;","315;"
"Antonio Marco","Q37370102","1","2338;","360;"
"Apollinaire Guillaume","Q133855","3","112;1384;2071;","9;193;302;"
"Appelius Mario","Q3848293","1","2100;","305;"
"Apuleio","Q170512","2","1536;1695;","218;235;"
"Aragon Louis","Q4128","2","1861;2121;","261;310;"
"Arakawa Shusaku","Q478264","5","2001;2002;2003;2004;2005;","292;"
"Arbasino Alberto","Q521191","15","143;154;197;400;1537;760;761;762;763;764;765;766;767;768;2828;","12;14;17;43;219;88;398;"
"Archimede","Q8739","1","2448;","370;"
"Arcimboldo (Giuseppe Arcimboldi)","Q7751","2","853;855;","104;"
"Arimondi Giuseppe","Q3770019","2","1763;1764;","247;"
"Ariosto Ludovico","Q48900","36","74;75;232;266;342;389;649;759;760;761;762;763;764;767;768;770;771;772;774;884;964;967;968;1254;1297;1481;1640;1677;1689;1697;1698;1699;1758;1761;1848;1849;","4;21;27;35;42;82;88;89;109;117;118;171;179;209;229;233;235;236;247;260;"
"Aristarco Guido","Q3779162","2","1889;1891;","265;266;"
"Aristofane","Q43353","1","194;","16;"
"Aristotele","Q868","8","715;853;854;928;1806;2041;2081;2086;","86;104;113;255;297;303;304;"
"Arliss George","Q182229","1","1041;","132;"
"Armendariz Pedro","Q359996","1","1892;","266;"
"Arpino Giovanni","Q982566","1","1766;","248;"
"Artaud Antonin","Q187166","2","113;1047;","9;133;"
"Asafiev Boris","Q325032","1","2435;","370;"
"Aschenbach Gustav von","Q1556599","3","1906;1907;1908;","268;"
"Asor Rosa Alberto","Q1130079","9","353;1832;1833;1834;1835;1836;1837;1838;1839;","37;258;"
