"name","qid","referencesLength","pages","essays","essaysYears","collections","date of birth","date of death","istance of","sex or gender","country of citizenship","place of birth","place of death","occupation"
"Abbagnano Nicola","Q315251","1","1470;","Umanesimo e marxismo;","1946;","ALTRI DISCORSI DI LETTERATURA E SOCIETÀ;","1901;","1990;","umano;","maschio;","Italia;","Salerno;","Milano;","filosofo;scrittore;professore universitario;"
"Abbas il Grande- scià di Persia","Q171349","2","613;614;","il mihrab;","1984;","COLLEZIONE DI SABBIA;","1571;","1629;1628;","umano;","maschio;","Iran;","Herat;","Mazandaran;","politico;"
"Abbé Grégoire (Henry Baptiste Grégoire)","Q561218","1","442;","Il patrimonio dei draghi;","1980;","COLLEZIONE DI SABBIA;","1750;","1831;","umano;","maschio;","Francia;","Vého;","Parigi;","presbitero;politico;sacerdote cattolico;"
"Abbott Edwin Abbott","Q531606","2","267;548;","Definizioni di territori: il fantastico;L'arcipelago dei luoghi immaginari;","1970;1981;","UNA PIETRA SOPRA;COLLEZIONE DI SABBIA;","1838;","1926;","umano;","maschio;","Regno Unito;Regno Unito di Gran Bretagna e Irlanda;","Marylebone;Londra;","Borgo londinese di Camden;","teologo;scrittore di fantascienza;docente;scrittore;romanziere;"
"Abelardo","Q4295","1","2355;","Del prendere posizione;","1979;","SCRITTI DI POLITICA E COSTUME;","1079;","1142;1142;","umano;","maschio;","Regno di Francia;Francia;","Le Pallet;","Chalon-sur-Saône;","teologo;filosofo;compositore;linguista;poeta;autobiografo;logico;matematico;scrittore;ecclesiastico;"
"Abernathy Ralph","Q545488","3","2513;2519;2520;","Cartoline dall'America;","1960;","DESCRIZIONI E REPORTAGES;","1926;","1990;","umano;","maschio;","Stati Uniti d'America;","Linden;","Atlanta;","avvocato civilista;ministro di culto nel cristianesimo;"
"Abraham Cresques","Q329893","1","427;","Il viandante nella mappa;","1980;","COLLEZIONE DI SABBIA;","1325;1325;","1387;1387;","umano;","maschio;","Corona d'Aragona;","Palma di Maiorca;","null","cartografo;"
"Accrocca Elio Filippo","Q3723020","1","2709;","Questionario 1956;","1956;","PAGINE AUTOBIOGRAFICHE;","1923;","1996;","umano;","maschio;","Italia;","Cori;","Roma;","poeta;scrittore;traduttore;"
"Addison Joseph","Q17507964","1","866;","Washington Irving;","1983;","NARRATORI, POETI, SAGGISTI;","null","null","umano;","maschio;","Canada;","null","null","romanziere;"
"Adorno Theodor Wiesengrund","Q152388","3","132;235;2794;","L'antitesi operaia;Due interviste su scienza e letteratura;Colloquio con Ferdinando Camon;","1964;1968;1973;","UNA PIETRA SOPRA;UNA PIETRA SOPRA;PAGINE AUTOBIOGRAFICHE;","1903;","1969;","umano;","maschio;","Stati Uniti d'America;Germania;","Francoforte sul Meno;","Visp;","filosofo;compositore;musicologo;sociologo;professore universitario;critico letterario;critico musicale;aforista;"
"Afanasjev Aleksandr Nikolaevič","Q325004","1","1613;","La tradizione popolare nelle fiabe;","1973;","ALTRI DISCORSI DI LETTERATURA E SOCIETÀ;","1826;","1871;","umano;","maschio;","Impero russo;","Bogučar;","Mosca;","antropologo;linguista;giornalista;scrittore per ragazzi;"
"Agamben Giorgio","Q311687","2","470;1111;","Ditelo coi nodi;L'esattezza e il caso (per Tommaso Landolfi);","1983;1982;","COLLEZIONE DI SABBIA;NARRATORI, POETI, SAGGISTI;","1942;","null","umano;","maschio;","Italia;","Roma;","null","filosofo;scrittore;professore universitario;undefined;"
"Agostino- santo","Q8018","4","738;1713;1859;2082;","Appendice: Cominciare e finire;Un progetto di rivista;Il libro, i libri;Pietro Redondi, «Galileo eretico»;","1988;1970;1984;1983;","LEZIONI AMERICANE;ALTRI DISCORSI DI LETTERATURA E SOCIETÀ;ALTRI DISCORSI DI LETTERATURA E SOCIETÀ;IMMAGINI E TEORIE;","354;","430;","umano;","maschio;","Roma antica;","Tagaste;","Ippona;","filosofo;teologo;scrittore;autobiografo;teorico della musica;ecclesiastico;storico;"
"Aizenberg Roberto","Q3436822","2","1997;1998;","II pieno e il vuoto (per Aizenberg);","1982;","IMMAGINI E TEORIE;","1928;","1996;","umano;","maschio;","Argentina;","undefined;","Buenos Aires;","scultore;pittore;"
"Alain (Émile Auguste Chartier)","Q275003","1","1255;","In memoria di Sergio Solmi;","1981;","NARRATORI, POETI, SAGGISTI;","1868;1868;","1951;","umano;","maschio;","Francia;","Mortagne-au-Perche;","Le Vésinet;","filosofo;scrittore;giornalista;docente;"
"Alberoni Francesco","Q1386131","2","2062;2065;","«Saggi sull'amore» di Ortega y Gasset;","1982;","IMMAGINI E TEORIE;","1929;","null","umano;","maschio;","Italia;","Borgonovo Val Tidone;","null","giornalista;scrittore;sociologo;"
"Alberti Leon Battista","Q182046","1","527;","La luce negli occhi;","1982;","COLLEZIONE DI SABBIA;","1404;1404;1404;","1472;1472;1472;","umano;","maschio;","null","Genova;","Roma;","filosofo;linguista;crittografo;poeta;architetto;teorico dell'architettura;teorico della musica;musicologo;scultore;scrittore;medaglista;pittore;matematico;drammaturgo;"
