name,occurrences,essays
"Abba Giulio Cesare","3","Savona: storia e natura;"
"Abbagnano Nicola","1","Umanesimo e marxismo;"
"Abbas il Grande- scià di Persia","2","il mihrab;"
"Abbé Grégoire (Henry Baptiste Grégoire)","1","Il patrimonio dei draghi;"
"Abbott Edwin Abbott","2","Definizioni di territori: il fantastico;L'arcipelago dei luoghi immaginari;"
"Abelardo","1","Del prendere posizione;"
"Abernathy Ralph","3","Cartoline dall'America;"
"Abraham Cresques","1","Il viandante nella mappa;"
"Accrocca Elio Filippo","1","Questionario 1956;"
"Addison Joseph","1","Washington Irving;"
"Adorno Theodor Wiesengrund","3","L'antitesi operaia;Due interviste su scienza e letteratura;Colloquio con Ferdinando Camon;"
"Afanasjev Aleksandr Nikolaevič","1","La tradizione popolare nelle fiabe;"
"Agamben Giorgio","2","Ditelo coi nodi;L'esattezza e il caso (per Tommaso Landolfi);"
"Agostino- santo","4","Appendice: Cominciare e finire;Un progetto di rivista;Il libro, i libri;Pietro Redondi, «Galileo eretico»;"
"Aiolfi Luciano","2","Abbiamo vinto in molti;"
"Aizenberg Roberto","2","II pieno e il vuoto (per Aizenberg);"
"Alain (Émile Auguste Chartier)","1","In memoria di Sergio Solmi;"
"Alberoni Francesco","2","«Saggi sull'amore» di Ortega y Gasset;"
"Alberti Leon Battista","1","La luce negli occhi;"
"Albertoni Ettore A.","1","Autobiografia politica giovanile;"
"Alcmane","1","Primo Levi, «La ricerca delle radici»;"
"Aleramo Sibilla","1","La «Biblioteca romantica» Mondadori;"
"Alessandro I- zar","1","Lev Tolstoj, «Due ussari»;"
"Alessandro III- zar","2","I piccoli uomini di Anton Cechov;Taccuino di viaggio nell'Unione Sovietica 1952;"
"Alfieri Vittorio","1","Mancata fortuna del romanzo italiano;"
"Algarotti Francesco","1","«L'altrui mestiere» di Primo Levi;"
